logFC	logCPM	LR	PValue	FDR	geneId
1.61542504425039	4.03422281929074	79.3375553418303	5.23549841970223e-19	3.71076018762587e-16	AT2G01830
2.50092974631627	1.26433783448574	78.8721337718079	6.62628671589337e-19	4.52256339261048e-16	AT1G10460
-1.09146963229321	4.98437232831179	78.3861519751982	8.47441645192538e-19	5.57737665628861e-16	AT5G53420
2.9837358685746	1.0455150571536	74.9528667493444	4.82086658636702e-18	3.06341136046798e-15	AT4G02810
1.29057595324113	3.77002851535258	69.6562860756772	7.05934018098901e-17	4.33631736184218e-14	AT3G06020
1.40876483498717	3.86046375304911	67.8810369228171	1.73663347310977e-16	1.03234456911184e-13	AT4G26150
1.78186115308874	2.96632729363268	67.669291321941	1.93351647002779e-16	1.11346379717725e-13	AT4G15680
1.34986399123232	3.48929552859487	66.5315535684426	3.44337329883809e-16	1.92286312578753e-13	AT4G11190
1.10860463105932	4.90432970029843	63.5151756103063	1.591361370002e-15	8.62517862541083e-13	AT3G53960
1.10726895101925	4.39086549853335	62.5238424225732	2.63238440015863e-15	1.38598799217495e-12	AT3G13380
0.943652623108436	7.51935221718738	62.2458145615355	3.03152565943696e-15	1.55180430144734e-12	AT4G34950
1.14259389581585	3.88890721639823	59.6153480646817	1.15332200571721e-14	5.74416700577208e-12	AT5G22390
1.14738958987851	3.28193945570828	57.4957847166266	3.387043928497e-14	1.64253803985112e-11	AT2G29490
1.25138527355792	5.29021672183861	56.8934023519657	4.60086812125283e-14	2.1739691727807e-11	AT2G18300
1.1202848286598	4.42498036518163	54.703862946342	1.40130580431705e-13	6.45581584048864e-11	AT4G29905
1.44998429637474	2.52611172667752	52.8758903243356	3.55304204613683e-13	1.59696241039535e-10	AT2G45080
1.71272837361994	1.49179565439379	52.8195623979069	3.65641278447903e-13	1.6042946379138e-10	AT1G10480
0.797218187647513	6.23682776131586	51.2776812317174	8.01820805123081e-13	3.4362683248391e-10	AT4G37790
1.03249623487324	7.05560624961503	50.4183750958227	1.24225610983745e-12	5.2027944527465e-10	AT1G69530
0.881005049976199	5.71487673515178	50.328672044031	1.30035694146901e-12	5.3251061594202e-10	AT2G29970
0.901316822543536	4.32314871365813	49.7968482314586	1.70517657953005e-12	6.83108565382167e-10	AT3G61630
1.530876725434	5.14924963660644	49.5122359596344	1.97138327501184e-12	7.72950021104644e-10	AT1G61340
-0.837225601315755	6.93785941290938	49.3925694917107	2.09537808555075e-12	8.04450570011027e-10	AT4G03400
1.19752264277951	3.81008682707312	48.862979094247	2.74483031506922e-12	1.03228026624685e-09	AT4G15230
-1.19027020878395	2.8243221552206	48.3993593727681	3.47681757747512e-12	1.28141588635423e-09	AT5G42680
1.02258765448685	5.71979819431751	47.7185351403316	4.92017826537506e-12	1.74956021688672e-09	AT5G61010
2.05905740105376	1.70194256054023	47.7118848838042	4.93689663979322e-12	1.74956021688672e-09	AT4G21120
2.0164726852313	2.46747699846619	46.8920628884118	7.50058638883052e-12	2.60793973534658e-09	AT1G13420
0.752139319350611	4.95484986237715	46.7452191134851	8.0841918286081e-12	2.75880531514056e-09	AT1G07200
1.9384306362839	1.32529393715424	46.5444782284063	8.95622742508915e-12	3.00082470890078e-09	AT1G04360
1.40815051657462	4.58925093783393	46.4299677009628	9.49521459342340e-12	3.12460383085012e-09	AT2G46310
0.81222635880983	4.878271475257	46.0062743771578	1.17874865685649e-11	3.81087372781602e-09	AT1G01030
2.55839476869597	1.04303372807871	45.1633444401485	1.81266327575665e-11	5.75926876649027e-09	AT3G50300
0.858201707423205	4.97338322721768	44.9010540507796	2.07246289287108e-11	6.47310952369972e-09	AT4G29720
1.23747928816812	3.71161381514978	43.9942561529757	3.29340906400901e-11	1.0115157038593e-08	AT2G40130
0.976189842416746	5.50985176010893	43.8716402008901	3.50632815237773e-11	1.05925598675437e-08	AT2G17820
1.08616986532027	3.34476335080139	41.4080172370562	1.23549639721652e-10	3.60659465665504e-08	AT1G21120
1.48139405940294	2.92238645555129	41.4079306861906	1.23555110034841e-10	3.60659465665504e-08	AT4G15670
1.40552113397787	2.26359299711806	41.3812011183909	1.25256163460996e-10	3.60659465665504e-08	AT1G76410
0.985733881115859	5.19952966344126	41.1982328540961	1.37546840218605e-10	3.89955872545917e-08	AT1G31770
1.35311594590832	2.91868230222745	41.0032227211061	1.51978409194559e-10	4.18838787760167e-08	AT5G13330
1.08869678680144	3.16299979089421	40.9993453460071	1.522802191227e-10	4.18838787760167e-08	AT5G46230
1.45433859917856	3.58660160978375	40.8571327500512	1.63774413516601e-10	4.43828660629989e-08	AT1G03850
1.08614390385824	5.83251876935932	40.5910792350697	1.87661462856785e-10	5.01192092394904e-08	AT4G23750
0.852714134579649	4.56248835720888	40.4709692235432	1.9955918992214e-10	5.25353821697885e-08	AT2G03730
0.918453435129639	4.06547785472776	39.8933210099177	2.6821879587125e-10	6.96159995819069e-08	AT4G39070
1.53992847519508	3.06145170584326	39.7671546104482	2.86116480008797e-10	7.32299235222516e-08	AT4G22620
0.951960896473213	3.80293486921115	39.4783804464537	3.31711592510464e-10	8.37367291340114e-08	AT4G35160
0.998908256782236	9.53152598255328	38.811644937649	4.66735169042275e-10	1.16229671555555e-07	AT1G78850
1.21698307572911	3.41658310205627	37.5644834681115	8.84402688097952e-10	2.17303636483587e-07	AT3G29575
1.09658965234023	5.00166828481153	37.5032443197282	9.12610570855608e-10	2.21284047364831e-07	AT1G78600
1.19784859525008	4.44839725099554	37.1933623695241	1.0697728792779e-09	2.55617297952776e-07	AT5G05850
1.31845754879891	3.2680750665348	37.1595432842629	1.08848742337158e-09	2.55617297952776e-07	AT1G55610
1.16502186840043	2.93777177243273	37.1464514856057	1.09581976005368e-09	2.55617297952776e-07	AT4G15660
2.04430061126043	1.08153235902554	36.8964202642614	1.24574463442161e-09	2.86957276539019e-07	AT3G15720
-0.666252780355185	5.54723975155868	36.8036334574644	1.3064653492741e-09	2.97228931560779e-07	AT3G02170
1.45409733018859	2.09563447393462	36.4011221116868	1.60610725645959e-09	3.60943225878504e-07	AT1G70430
0.770587619611283	4.14426905985327	36.3564758439583	1.64332283313313e-09	3.64857267096113e-07	AT4G01026
1.65576604227168	2.20528630464285	35.8665978276504	2.11300288180257e-09	4.63552584593545e-07	AT3G57010
1.00099003676887	3.73229524549554	35.4792917759904	2.57776567238022e-09	5.58859597772032e-07	AT4G24015
1.1647783133208	3.868498479804	35.0514948912027	3.21100368103288e-09	6.88050881791557e-07	AT5G15310
0.907393942690155	4.31527030997046	34.9331975018858	3.41213251887219e-09	7.22744575376744e-07	AT2G02990
0.764805881604647	6.57705042766197	34.8702206000795	3.5243026428209e-09	7.3764447087392e-07	AT5G11420
0.810843534867382	4.85201639728869	34.8492143061794	3.56253298826671e-09	7.3764447087392e-07	AT4G34610
0.84973373829141	4.62242675658476	34.6969185070628	3.85240900328483e-09	7.88802145694809e-07	AT3G54950
1.09220339346802	5.72073507180514	34.323661522076	4.66673374123095e-09	9.45039223993451e-07	AT1G69040
0.870573920777392	5.25054068911295	34.0727191473285	5.30903985990222e-09	1.06342376672041e-06	AT1G30040
0.742717111928225	4.2083242612777	33.8236389280562	6.03411921902205e-09	1.19566396739934e-06	AT5G24530
0.712287267307377	5.05980843670945	33.4949864885486	7.14479233640345e-09	1.40068333165152e-06	AT4G14230
0.765971325587044	4.53809137994977	33.4005457922991	7.50029136837458e-09	1.45489862459375e-06	AT5G53290
1.12937087317077	3.5552244532585	33.0766532404122	8.85961793841135e-09	1.70067749342755e-06	AT1G67195
1.27960502184725	3.10439210143987	32.894424201737	9.73019430450948e-09	1.84853629529382e-06	AT4G11521
0.752134716668297	5.16157328951785	32.4670227311054	1.21232358985148e-08	2.27912405516121e-06	AT5G57220
1.56786605622641	0.902145908565608	32.4477527751482	1.22440460962101e-08	2.27912405516121e-06	AT2G21650
1.95260753402064	1.53202328553147	32.3659141959734	1.27707028083453e-08	2.35338511352187e-06	AT2G39920
0.947453070726636	4.02937390674599	32.2037687728375	1.38821218155874e-08	2.53286872096678e-06	AT4G19380
1.32942460350551	3.04339019161766	31.7945404142094	1.71373788477213e-08	3.09615311182165e-06	AT2G01890
-1.75956005655305	0.668977449782785	31.6787656786232	1.81900222989168e-08	3.25442457208194e-06	AT2G27550
1.56043839763849	1.40530021437682	31.5031196219887	1.99120096481819e-08	3.52825494035284e-06	AT4G21760
0.878158915405416	6.60451981619177	31.1068992234679	2.44201875880179e-08	4.2858592083047e-06	AT5G13180
2.15220532391151	-0.0223902777246296	30.7530932472931	2.93036345467518e-08	5.09440922101455e-06	AT5G65030
-0.690287586885682	4.2329141148628	30.6439959122038	3.0998435035943e-08	5.33868374619025e-06	AT5G61420
0.784142713471716	5.4377654230633	30.5995610570681	3.1716549149708e-08	5.41178303454463e-06	AT5G64620
-1.36505535429679	1.55366459445767	30.4256026548039	3.46919079006109e-08	5.8651603558941e-06	AT5G46690
0.935975365674422	3.78210629975486	30.3195497594514	3.66414160376893e-08	6.1168263299112e-06	AT2G30540
0.833784375068247	3.61279911589603	30.3088366564976	3.68443522151152e-08	6.1168263299112e-06	AT3G50560
1.36818275388725	2.99531975995897	30.1917719293173	3.91366309763658e-08	6.39755410611771e-06	AT5G04770
1.79991645196357	1.39488017044128	30.1871687888942	3.92296295849415e-08	6.39755410611771e-06	AT3G56380
