logFC	logCPM	LR	PValue	FDR	geneId
0.927941689	5.236107636	65.21157169	6.73E-16	1.02E-13	AT3G07350
0.943823655	5.53920647	65.19963649	6.77E-16	1.02E-13	AT5G36180
-1.055658801	4.620729664	64.92742073	7.77E-16	1.16E-13	AT5G13910
0.960182074	4.365407358	64.15899799	1.15E-15	1.70E-13	AT1G12420
-2.284503363	1.66685164	64.12867031	1.17E-15	1.71E-13	AT2G20880
-1.310621573	3.066122893	63.90200988	1.31E-15	1.91E-13	AT5G14360
2.188490693	1.371101386	63.86892265	1.33E-15	1.93E-13	AT1G62190
0.944650567	7.596066716	63.18543194	1.88E-15	2.70E-13	AT4G11190
2.098889272	1.864670883	62.62718696	2.50E-15	3.56E-13	AT1G48870
0.893879873	5.534356956	62.5607915	2.58E-15	3.66E-13	AT5G57630
1.069063908	4.661853217	62.04567765	3.36E-15	4.70E-13	AT2G34355
1.452966072	4.424698818	62.03938098	3.37E-15	4.70E-13	AT2G40230
1.133162661	6.683609355	61.75713103	3.89E-15	5.38E-13	AT2G01830
-1.826555819	1.699645086	61.72901508	3.94E-15	5.42E-13	AT5G67020
1.326328382	4.588522333	61.15905374	5.26E-15	7.19E-13	AT4G39770
1.25810008	6.225250896	61.00013171	5.71E-15	7.74E-13	AT2G32510
1.314081124	4.401332735	60.78570501	6.36E-15	8.57E-13	AT3G50700
-1.46286488	2.659295319	60.10704611	8.98E-15	1.20E-12	AT1G02460
1.671591363	3.203201107	59.96243712	9.67E-15	1.28E-12	AT5G44417
1.471159081	2.349779447	59.23967727	1.40E-14	1.84E-12	AT5G57400
-1.0374037	4.36192089	59.20868506	1.42E-14	1.86E-12	AT2G34140
-0.9384869	5.200901654	58.24541594	2.31E-14	3.01E-12	AT3G53540
1.825840209	2.136075604	58.02615587	2.59E-14	3.34E-12	AT2G19410
2.174420496	1.136536721	58.01140836	2.61E-14	3.34E-12	AT2G22750
4.917036372	-0.060953169	57.84277237	2.84E-14	3.62E-12	AT4G14250
0.846855665	5.781141871	57.83119617	2.86E-14	3.62E-12	AT1G58170
0.821373491	6.599420144	57.68518396	3.08E-14	3.87E-12	AT2G30520
